npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  12/17/2025 11:13:23 AM ::1 GET /
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 44 ms
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/css/860f246758a58369.css
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/media/fotoawalhero.34dbc3ec.webp
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/media/slider1.49eecce8.webp
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 6 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 5 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 7 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 5 ms
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/webpack-51d76c0bd3d79be3.js
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/4bd1b696-cf72ae8a39fa05aa.js
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 3 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 4 ms
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/964-1d8e3d2561872b55.js
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/main-app-69496ec153f69d22.js
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/874-88e24f0e286df0b2.js
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/app/error-f5616a0386b4c753.js
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/63-e2758006d17bcdf6.js
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 16 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 16 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 16 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 18 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 25 ms
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/app/not-found-4d0aad09ae14ec59.js
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/app/layout-84682f4fb8ab7373.js
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 6 ms
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 3 ms
 HTTP  12/17/2025 11:13:23 AM ::1 GET /_next/static/chunks/app/page-dfd238631d167f6b.js
 HTTP  12/17/2025 11:13:23 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:13:24 AM ::1 GET /favicon.webp
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/slider2.01c50927.webp
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/slider3.9a26a569.webp
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/durian.c2a0c853.webp
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/tokped.b106a58d.svg
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/manggis.3660a255.webp
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 4 ms
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 5 ms
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 5 ms
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 4 ms
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 4 ms
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 13 ms
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/apel.a7d007bf.webp
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/mangga.62924ff8.webp
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/manggajusbar.c5d15920.webp
 HTTP  12/17/2025 11:13:24 AM ::1 GET /_next/static/media/pisang.0e06c7e7.webp
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 14 ms
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 8 ms
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 9 ms
 HTTP  12/17/2025 11:13:24 AM ::1 Returned 200 in 9 ms
